Ticket ID,Device,Reported Issue,Event feed / Comments / Conclusions,Completed works
IT-15597,Vivo Y33s,Module replacement + middle film,,"Gluing a hydrogel film to a smartphone (screen), Modular replacement of the display unit of a smartphone/tablet with restoration of sealing"
IT-15598,Xiaomi Redmi Note 9S,Unlock + factory reset,,
IT-15594,Marshall Major 4,after water,,
IT-15612,Marshall Major 5,Turns on and off,,Restoring the device with functional diagnostics
IT-15605,Xiaomi Redmi Note 8 Pro (M1906G7G),Battery replacement,,Replacement of the battery (battery) of a mobile device with restoration of the thermal interface
IT-15581,Samsung Galaxy S21 5G,Battery replacement,,Replacement of the battery (battery) of a mobile device with restoration of the thermal interface
IT-15569,MSI Summit E13 Flip Evo,The sound doesn't work and it gets hot.,,
IT-15591,Asus FA507NV,Prevention,,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15570,Apple A1706,"battery replacement, customer battery",,
IT-15579,Apple 13 Pro,drowning. fell,,In-depth device diagnostics with partial disassembly
IT-15565,Apple iPhone 12 Pro,Battery Replacement - Original,,"Hardware initialization (forced start) of the battery with recovery from a deep discharge state, Re-soldering of the display chip iPhone 12 /12 Pro (without repair history), Replacement of the glass iPhone 12 / 12 Pro (complete set with frame and glass)"
IT-15553,Asus G834J,"prevention, liquid metal + gaskets",,Ultimate comprehensive heat dissipation restoration (Liquid Metal + Liquid Thermal Pads)
IT-15560,Apple iPhone XR,"Module replacement, Module replacement",,Modular replacement of the display unit of a smartphone/tablet with sealing restoration
IT-15555,Asus G513RM-HFO94,Laptop prevention,,
IT-15561,Alldocube T1012,Not charging,,Component replacement of the system connector (Type-C / Lightning and others) of a mobile device
IT-15547,Samsung NP300E5C,cleaning,,Hardware prevention of the cooling system (Lev II: Standard thermal paste)
IT-15546,Samsung SM-A325F,won't turn on. interrupted,"Notes: As a result of in-depth hardware diagnostics of the system board, the display module was not initialized and the device's startup logic was unstable (a spontaneous transition to an emergency low-level boot mode was recorded). The nature of the malfunction indicates a critical hardware failure - most likely, there was a degradation of the graphics core (GPU) inside the central processor or an internal break in the conductors in the layers of the system board itself (microcracks). Given the current state, complex component repair at the level of restoring or replacing the central processor is high-risk and economically impractical; to restore the smartphone's performance, a complete replacement of the system board is recommended. Conclusion: As a result of in-depth hardware diagnostics of the system board, the display module was not initialized and the device's startup logic was unstable (a spontaneous transition to an emergency low-level boot mode was recorded). The nature of the malfunction indicates a critical hardware failure - most likely, there was a degradation of the graphics core (GPU) inside the central processor or an internal break in the conductors in the layers of the system board itself (microcracks). Given the current state, complex component repair at the level of restoring or replacing the central processor is high-risk and economically impractical; to restore the smartphone's performance, a complete replacement of the system board is recommended.",In-depth device diagnostics with partial disassembly
IT-15529,Sony WH-1000XM3,stopped turning on,"Notes: 🧾 Diagnostic result: During diagnostics, it was found that the motherboard was deformed (bent), which caused unstable contacts and periodic loss of connection between the board components. 🔧 Work performed: • the motherboard geometry was restored; • the board was locally warmed up to restore unstable contact connections; • the startup and basic functions of the headphones were checked. ✅ Result: The headphones turn on and work correctly, the unstable contact has been eliminated. The device is ready for delivery. Conclusion: 🧾 Diagnostic result: During diagnostics, it was found that the motherboard was deformed (bent), which caused unstable contacts and periodic loss of connection between the board components. 🔧 Work performed: • the motherboard geometry was restored; • the board was locally warmed up to restore unstable contact connections; • the startup and basic functions of the headphones were checked. ✅ Result: The headphones turn on and work correctly, the unstable contact is eliminated. The device is ready for delivery.",Restoring the device with functional diagnostics
IT-15524,Oukitel WP12,restore phone,,Restoring the device
IT-15537,Lenovo Legion Pro 7,not working,,Hardware prevention using liquid metal (Level 2: CPU + GPU)
IT-15523,Asus G513IC,Laptop maintenance (liquid) to see why the cooler is knocking,,"Ultimate comprehensive heat dissipation restoration (Liquid Metal + Liquid Thermal Pads), CPU + GPU Fan (Cooler) for Asus"
IT-15527,Lenovo Lenovo TB-X606X,module replacement,,In-depth device diagnostics with partial disassembly
IT-15514,Samsung Galaxy S23 Ultra,"You need to replace the back cover and screen, just the glass without the sensor, clean the front camera from dust, and replace or clean the charging connector, as the cord has stopped holding.",,"Applying Premium hydrogel film to a smartphone, Samsung cover replacement"
IT-15521,Asus G513IM-HN002,"prophylactic (liquid) possible gaskets, blow and clean the keyboard",,Ultimate comprehensive heat dissipation restoration (Liquid Metal + Liquid Thermal Pads)
IT-15509,Google Pixel 7 Pro,Flashlight and speaker not working,,
IT-15505,Apple a1707,"It doesn't charge, we changed the AC adapter.",,
IT-15520,Hp Victus Gaming Laptop 16,"preventive maintenance (phase) possible gaskets, blow and clean the keyboard",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15494,Lenovo Legion 5 15IMH05,"prevention, phase (possibly gaskets too)",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15490,Lenovo TB132FU,"does not work, when turned on, it freezes during loading",,In-depth device diagnostics with partial disassembly
IT-15495,Asus FA506NC,Cleaning,,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15476,Acer Aspire 3 A315-41,Does not turn on,,"Integration of a new keyboard into the laptop top case (thermal sealing of plastic rivets), Hardware prevention of the cooling system (Lev VI: Phase transition PCM), Keyboard for ACER laptop"
IT-15478,Samsung Galaxy Tab S2 9.7,"Doesn't turn on, holds charge poorly",,
IT-15472,Samsung SM-T211,"It doesn't turn on, the information on it is very expensive",,Hardware initialization (forced start) of the battery with recovery from a deep discharge state
IT-15468,Dell Precision 7750,"prevention, test RAM",,Dell Laptop Service
IT-15470,Acer Nitro V 15 ANV15-41,"Laptop prevention, cleaning, Phase",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15466,Apple A2289,Laptop prevention,,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15503,Samsung Samsung SM-A245F/DSN,not charging,"Conclusion: During the test, the smartphone is detected by the computer in emergency mode: Qualcomm 9008 The device does not undergo normal initial initialization. According to the diagnostic results, there are signs of a violation of the BGA contact of the processor and/or memory chip. 🧪 Technical explanation: To further search for a malfunction, it is necessary to gradually dismantle and resolder several main microcircuits - the processor, RAM and permanent memory. It is impossible to accurately identify the faulty microcircuit without such intervention. The work would have to be performed alternately, in fact, by the exclusion method, without a guarantee of a positive result. Even after reballing, the smartphone may not work if one of the microcircuits has internal damage. 📄 Conclusion: ❌ No repair. Due to the need for complex BGA intervention in several microcircuits at once, high risks and the lack of a guarantee of the result, the repair is considered technically and economically inexpedient. The smartphone is returned without performing repair work.",In-depth device diagnostics with partial disassembly
IT-15455,Acer EUN314-51WG-584F,Not charging,,
IT-15450,Acer An515-58-54JG,"Laptop prevention, phase",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15444,Samsung SM-M515F,"It was freezing, the screen didn't work well.",,Restoring the device with functional diagnostics
IT-15473,Google Pixel 7,soft lock,,
IT-15441,Hp ProBook 450 G7,keyboard replacement,,"Integration of a new keyboard into the laptop top case (thermal sealing of plastic rivets), Hardware prevention of the cooling system (Lev IV: Premium thermal paste)"
IT-15433,Apple iPhone 11,"Display replacement, bottom part not working",,"Courier delivery in the city, Replacement of the display (module) of a smartphone/tablet/navigator"
IT-15434,Xiaomi MI 10t Pro,card slot not working replacement of back cover,,Restoring the device with functional diagnostics
IT-15430,Armor 8,"resolder the socket, it charges fine",,Restoring the device with functional diagnostics
IT-15432,Asus FA507UI,Prevention,,"Cleaning, preventive maintenance of the cooling system, replacement of phase transition thermocouples (factory) (lev VII)"
IT-15428,Motorola G72,"Flooded in the river, won't turn on","Conclusion: During the disassembly of the smartphone, significant consequences of prolonged contact with water were revealed. There is severe corrosion on the internal components, and some of the connectors and contact connections are almost completely destroyed by oxidation. 🧪 Technical explanation: After the device gets into water, corrosion continues to spread even after drying. It damages: • connectors and contact pads; • cables and small elements of the board; • conductive tracks; • system nodes of the smartphone. In this case, the damage is complex. An attempt at restoration would require the replacement of a significant number of components and complex repair of the system board without a guarantee of a stable result. 📄 Conclusion: ❌ No repair. The connectors and some of the contact connections are destroyed by corrosion. Given the scale of the damage, the cost and risks of repair, restoring the smartphone is economically inexpedient.",
IT-15446,Redmi 15c 25078RA3EE,"Replacing the module, and see why it's so stupid",,Modular replacement of the display unit of a smartphone/tablet with sealing restoration
IT-15421,Meizu m6 note,"Water got in, stopped charging",,
IT-15418,Asus Black,extend the cable +- 70 cm,,Restoring the integrity of the power cord with replacement of the plug (with heat-shrink insulation)
IT-15414,Apple 11,battery replacement,,"Spare part delivery by Nova Poshta, Replacement of the battery (battery) of a mobile device with restoration of the thermal interface, Cleaning the power connector from foreign elements"
IT-15440,Dell Inspiron 15 7000 Gaming,prevention and recovery of wasps,,
IT-15459,ASUS ASUS I006D,does not turn on.,,In-depth device diagnostics with partial disassembly
IT-15427,Keychron Q3,"It doesn't turn on, the button is stuck",,Keyboard repair
IT-15406,Apple iPad 5 A2348,"Initial problem: the tablet was not charging normally; when connecting to USB-C charging, the low battery icon periodically appeared, then the cable icon, after which the screen turned off - the cycle repeated; via the Magic Keyboard, the tablet could previously turn on, but showed 1% charge and then turned off; the battery was not charging. What has already been checked and done: checked with another working USB-C cable; checked with a 61W USB-C Power Delivery charging adapter; performed a forced restart; checked charging directly via USB-C and via the Magic Keyboard; installed another, pre-charged battery. Result after replacing the battery: the iPad turned on and works stably with a new battery; the system constantly shows only 1%, although the battery is actually charged; the battery does not charge; replacing the battery did not solve the problem",,
IT-15422,Samsung NP550P7C,"Laptop maintenance, cleaning",,Hardware prevention of the cooling system (Lev III: Professional thermal paste)
IT-15393,Asus X571gt,"Cleaning, Prevention, Phase",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15408,ASUS K3500P,"Something is cracking with the coolers, I need to clean them.",,"Comprehensive heat dissipation restoration (PCM Phase Transition + Liquid / Thermal Pads), Composite restoration of the geometry and integrity of the device case (restoration of plastic / metal elements), Original fan for ASUS VivoBook laptop (GPU FAN), Original fan for ASUS VivoBook laptop (CPU FAN), Spare part delivery by Nova Poshta"
IT-15400,Apple 14 pro max,back cover replacement,,Restoring the device with functional diagnostics
IT-15391,Lenovo ideaPad S540-14IWL,does not connect to the monitor,,
IT-15389,Asus G713,"Laptop maintenance, cleaning.",,Ultimate comprehensive heat dissipation restoration (Liquid Metal + Liquid Thermal Pads)
IT-15370,Samsung Galaxy A20,"does not turn on, battery",,In-depth device diagnostics with partial disassembly
IT-15363,Acer Aspire 5 A515-57,Microphone not working,,
IT-15386,Asus Vivobook K1703Z,"prevention, replacement of thermal paste",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15372,Asus FX506HC,install plugins,,Installing graphics software
IT-15357,Lenovo Ideapad Gaming 3 16ARH7,"laptop cleaning, phase, thermal pads",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15385,Acer Aspire E1-522,speakers not working,,"Component repair of the TV audio system (Class-D amplifier) / replacement of speakers, delivery of spare parts by Nova Poshta"
IT-15368,Hp Victus 15-fb1002ua,Laptop prevention,,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15355,Samsung A725,"The phone screen was hanging, they took it to another service for repair, replaced the screen module - it stopped working altogether, they found a problem in the motherboard, it doesn't work",,Deep hardware diagnostics of a mobile device with disassembly on a laboratory unit
IT-15354,Apple iPhone 14 Pro,battery replacement,"Conclusion: During the disassembly of the device, it was discovered that the battery cable had traces of corrosion, so for a high-quality and reliable repair, it also had to be replaced. 🧰 Work performed: ✔️ Replacement of the battery. ✔️ Replacement of the cable damaged by corrosion. ✔️ Setting up and checking the operation of the new battery. ✔️ Control testing of charging and smartphone operation. 🧪 Technical explanation: Damage to the cable could cause unstable battery operation, charging problems, or incorrect battery detection by the system. After replacing the cable and battery, the smartphone correctly detects the new battery - there is no system message about an unknown part or battery error. 📄 Conclusion: ✔️ The battery has been replaced. ✔️ The cable with corrosion has been replaced. ✔️ There are no battery errors. ✔️ The smartphone is working properly.",
IT-15352,Acer E5-575G,white screen,,"Hardware prevention of the cooling system (Lev IV: Premium thermal paste), Matrix 15.6 1920*1080, 30pin eDP, IPS, LED, SLIM, matte, for laptop, Basic replacement of the matrix (LCD/OLED display) of the laptop (WITHOUT EDID firmware), Delivery of the spare part by Novaya Poshta"
IT-15342,MSI Thin 15 B12UCX,"Prevention, phase, liquid thermal pads",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15337,Lenovo ThinkPad X1 Carbon,"Turns off when plugged in, drops from 100% to 20% and turns off",,
IT-15335,Samsung Galaxy A02,acb,,
IT-15339,MSI MS-16UB,"Cleaning, prevention",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15328,Lenovo LOQ 16APH8,"The central part of the keyboard is flooded with streaks, the keyboard is working.",,
IT-15320,Motorola Motorola XT2535-14,"Display replacement, cracked",,
IT-15331,Acer A315-58,acb,,Replacing the internal battery (battery) of a laptop (without repackaging)
IT-15317,Asus TUF Gaming A15 FA507NU,"Diagnose the power button, it doesn't turn on well, phase",,"Hardware prevention of the cooling system (Lev VI: Phase transition PCM), Precision hardware restoration of the system board, motherboard (component microsoldering of BGA/SMD elements and logic)"
IT-15306,Apple 12,"Replace the module, copy all the photos to the flash drive",,Complex replacement of the matrix (LCD/OLED) of a laptop WITH FIRMWARE (hardware programming) of the EDID code
IT-15313,OUKITEL Black,"After arrival, the screen crumbled, save the data, repair, agree on the cost",,"Restoring the geometry of the smartphone/tablet case (straightening the metal frame), Modular replacement of the smartphone/tablet display unit with sealing restoration"
IT-15308,Dell Inspiron 3580,"Prevention, cleaning, fan is noisy, diagnose",,"Hardware prevention of the cooling system (Lev VI: Phase transition PCM), Original fan for the DELL INSPIRON 3580 laptop, Delivery of the spare part by Nova Poshta, SSD drive M.2 2280 256GB Caiman Wibrand (WIM.2SSD/CA256GB), Memory module for the laptop SoDIMM DDR4 8GB 3200 MHz, Windows recovery ""turnkey"" + Comprehensive online maintenance of the OS and software for 3 months"
IT-15316,Samsung Galaxy A20e,Not unlocking,,
IT-15284,Pocketbook PB617,Does not turn on,,Component replacement of the system connector (Type-C / Lightning and others) of a mobile device
IT-15285,Sony CFI-ZCT1W,"Buttons are sticking, clean them",,
IT-15275,Samsung Galaxy S22 Ultra 5G,Battery replacement,,"Courier delivery around the city, Replacement of the battery (battery) of a mobile device with restoration of the thermal interface, Urgent repair out of turn"
IT-15276,Acer A315-34,Keyboard replacement,"Conclusion: In this model, the keyboard is not screwed with separate screws, but is soldered / welded into the top case from the factory with plastic rivets. Since this is not the first keyboard replacement on this laptop, some of the factory plastic rivets have already been cut or lost their normal shape after previous dismantling. In order for the new keyboard to fit evenly, tightly to the case and not move away during use, it was necessary to perform repeated thermal fastening - in fact, to weld new fixing points into the top case itself. ⚠️ Because of this, in some places on the top case there were small traces of heating / “pimples” from the sting. This is not a consequence of an incorrectly performed previous replacement, but is a design feature of this type of keyboard fastening. When re-replacing, you always have to partially sacrifice the appearance of the internal fastening zones in order to ensure reliable fixation of the keyboard. If this were not done, the keyboard could not hold well, move away from the case, or simply fall off over time. 📄 Conclusion: ✔️ The keyboard has been replaced. ✔️ The keyboard connector has been restored. ✔️ The keyboard is working properly. ✔️ The keyboard mount has been restored as reliably as possible, taking into account the design of the laptop. ⚠️ Minor traces of thermal restoration on the top case are a consequence of the design features of the mount and repeated replacement of the keyboard.","Integration of a new keyboard into the laptop top case (thermal sealing of plastic rivets), Keyboard for ACER laptop (SW: SF315-51) rus, black, without frame (original)"
IT-15278,Zonerich ZQ-T8356L,"Diagnose, it doesn't turn on, most likely the processor is heating up",,Ordering a motherboard and replacing it in a POS terminal
IT-15267,Redmi Redmi Note 13 Pro+,"Diagnose, reboot",,Restoring the device with functional diagnostics
IT-15269,Samsung SM-A546E,"It wasn't charging, the service center changed the charging cable, and they found a fault in the motherboard.",,In-depth device diagnostics with partial disassembly
IT-15271,Apple 11,Display,,Modular replacement of the display unit of a smartphone/tablet with sealing restoration
IT-15261,Acer a22001,"Dropped the tablet (7 year old child), it doesn't charge, doesn't turn on, diagnose","Notes: 🧾 Work performed: • a full diagnostics of the device was performed; • the power supply circuits and the reaction to connecting the charger were checked; • a known-good module was installed to rule out a display module malfunction; • the motherboard was diagnosed. 🧾 Diagnostic result: During the check, it was found that the display module is not the cause of the malfunction — the tablet also does not start with a known-good module. The device is detected by the computer in Qualcomm HS-USB QDLoader 9008 mode, which indicates a critical malfunction at the system board level. Most likely, the impact caused a violation of the BGA connections (contact separation) of the processor or memory chip. ❌ Conclusion: The malfunction is hardware in nature and is related to the motherboard. To restore operability, complex BGA operations are required, which do not guarantee a positive result and are economically inexpedient. The tablet was issued after diagnostics without performing repair work. Conclusion: 🧾 Work performed: • a full diagnostics of the device was performed; • the power supply circuits and the reaction to connecting the charger were checked; • a known-good module was installed to rule out a display module malfunction; • the motherboard was diagnosed. 🧾 Diagnostic result: During the check, it was found that the display module is not the cause of the malfunction — the tablet also does not start with a known-good module. The device is detected by the computer in Qualcomm HS-USB QDLoader 9008 mode, which indicates a critical malfunction at the system board level. Most likely, the impact caused a violation of the BGA connections (contact separation) of the processor or memory chip. ❌ Conclusion: The malfunction is hardware in nature and is related to the motherboard. To restore operability, complex BGA operations are required, which do not guarantee a positive result and are economically inexpedient. The tablet was issued after diagnostics without performing repair work.",In-depth device diagnostics with partial disassembly
IT-15264,Asus GL703VD,"Phase, hangs, sometimes makes noise, look at Windows",,"Fan for Asus ROG Strix GL703VD, Spare part delivery by Nova Poshta, Hardware prevention of the cooling system (Lev VI: Phase transition PCM)"
IT-15286,Sony CFI-ZCT1W,"Buttons are sticking, clean them",,
IT-15259,Samsung Galaxy A05s,"Filled with alcohol, won't turn on",,
IT-15257,Samsung Galaxy M31s,Diagnose,,
IT-15251,Lenovo TB-X104F,Does not turn on,,
IT-15249,Redmi Note 13,Camera glass replacement,,
IT-15242,Apple 13 pro max,Display replacement,,
IT-15235,Apple iPhone XR,Display replacement,,
IT-15232,Google Pixel 6,Checking for serviceability,,
IT-15228,Hp Pavilion 15-ec2020ua,10 watts of thermal paste,,
IT-15229,Lenovo TB328FU,"It only charges to 56%, the charging is coming out of the connector, replace the connector, look at the battery",,
IT-15227,Google Pixel 7 PRO,"Display, seven tray",,
IT-15226,Redmi 24117RN76E,"Restarts on its own, diagnose",,Restoring the device with functional diagnostics
IT-15225,HP 15-da0320ur,ssd + os,,"Western Digital Green SN3000 2280 PCIe 4.0 x4 NVMe 500GB SSD, Turnkey Windows Recovery + Comprehensive online OS and software maintenance for 3 months, Hardware prevention of the cooling system (Lev III: Professional thermal paste), Data recovery after virus infection"
IT-15212,Acer AN515-58,"It started to warm up, phase",,Comprehensive heat dissipation restoration (Phase transition PCM + Liquid / thermal pads)
IT-15204,Apple iPhone XS Max,"The display does not work, diagnose, replace",,Modular replacement of the display unit of a smartphone/tablet with sealing restoration
IT-15206,Asus FX706HF,Prevention,,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15193,Redmi 23124RA7EO,Battery replacement,,"Courier delivery in the city, Replacement of the battery (battery) of a mobile device with restoration of the thermal interface"
IT-15194,Samsung Galaxy A52 4G,"The phone fell to the floor with the charging part (there is a crack). If you put it on charging and hold the side buttons, it vibrates. The alarm goes off at 8 in the morning, but the screen doesn't light up. If possible, replace the glass and back cover, because it keeps coming off and cracking. Do not format or reset to factory settings.",,Modular replacement of the display unit of a smartphone/tablet with sealing restoration
IT-15190,Samsung Galaxy M33 5G,The screen suddenly turned off.,"Notes: 🧾 Work performed: • motherboard diagnostics were performed; • display module power lines were checked; • charging connector was replaced (replaced), since the device also did not respond to connecting the charger; • after replacing the charging connector, the charging function was restored; • analysis of the operation of the video signal generation and display power supply unit was performed. 🧾 Diagnostic result: After resuming charging, the smartphone began to receive power correctly, but the image on the display did not appear. Diagnostics showed a malfunction of the display power supply PWM controller (Display PMIC / Display PWM Controller), which generates the necessary voltages for the screen and video output unit. The display module itself is not the cause of the malfunction - the problem is at the motherboard level and is related to the video signal generation circuits. ❌ Conclusion: The necessary microcircuit is not available from suppliers, so it is currently impossible to perform repairs in our service center. The only real way to further check and possibly restore is to substitute a working chip from a working donor and retest the video output node. At the moment, repairs are not being performed due to the lack of the necessary spare part. The device was issued after diagnostics without performing repair work. Conclusion: 🧾 Work performed: • diagnostics of the motherboard were performed; • power lines of the display module were checked; • replacement (substitution) of the charging connector was performed, since the device also did not respond to connecting the charger; • after replacing the charging connector, the charging function was restored; • analysis of the operation of the video signal formation and display power unit was performed. 🧾 Diagnostic result: After resuming charging, the smartphone began to receive power correctly, but the image on the display never appeared. Diagnostics showed a malfunction of the display power PWM controller (Display PMIC / Display PWM Controller), which generates the necessary voltages for the operation of the screen and the video output node. The display module itself is not the cause of the malfunction - the problem is at the motherboard level and is associated with the video signal generation circuits. ❌ Conclusion: The necessary microcircuit is not available from suppliers, so it is currently impossible to perform repairs in our service center. The only real way to further check and possibly restore is to substitute a working microcircuit from a working donor and retest the video output node. At the moment, repairs are not being performed due to the lack of the necessary spare part. The device was issued after diagnostics without performing repairs.",In-depth device diagnostics with partial disassembly
IT-15207,Dell Precision 7670,"Cooler replacement, loud noise",,"Device recovery with functional diagnostics, Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)"
IT-15218,Dell Precision 5530,"Prevention, phase, is there no flooding on the board?",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15203,Lenovo Ideapad gaming 3 15ACH6,"Some keys do not work, phase",,"Keyboard for LENOVO laptop (Legion: 5-15 series), rus, black, without frame, key backlight, Spare part delivery by Nova Poshta, Hardware prevention of the cooling system (Lev VI: Phase transition PCM), Integration of the new keyboard into the laptop top case (thermal sealing of plastic rivets)"
IT-15200,Redmi 10c,Diagnose (water ingress or impact),"Notes: 🧾 Work performed: • the device was completely disassembled; • the motherboard was diagnosed; • the components were inspected for mechanical damage and traces of liquid exposure; • the main power lines were checked. 🧾 Diagnostic result: During the inspection, significant damage to the motherboard was detected due to corrosion. A large number of electronic components and contact pads were oxidized and destroyed, which is why the device does not fully respond to connecting the charger and trying to turn it on. ❌ Conclusion: The extent of the damage is critical. To restore operability, it is necessary to perform large-scale repairs with the replacement of a large number of components, but even in this case, a successful result cannot be guaranteed. Given the extent of the damage and the cost of possible work, repairs are economically inexpedient. The device was issued after diagnostics without performing repairs. Conclusion: 🧾 Work performed: • the device was completely disassembled; • the motherboard was diagnosed; • the components were inspected for mechanical damage and traces of liquid exposure; • main power lines checked. 🧾 Diagnostic result: During the inspection, significant damage to the motherboard due to corrosion was detected. A large number of electronic components and contact pads have been oxidized and destroyed, which is why the device does not fully respond to connecting the charger and trying to turn it on. ❌ Conclusion: The extent of the damage is critical. To restore operability, it is necessary to perform large-scale repairs with the replacement of a large number of components, but even in this case it is impossible to guarantee a successful result. Given the extent of the damage and the cost of possible work, repairs are economically inexpedient. The device was issued after diagnostics without performing repairs.",
IT-15198,Samsung a70,"does not turn on, does not charge",,"Courier delivery around the city, Component replacement of the system connector (Type-C / Lightning and others) of a mobile device"
IT-15188,Hp Pavilion Laptop 15,"Cleaning, phase",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15189,HP 15,"Cleaning, phase",,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15187,Lenovo Legion 5 15IAH7,"Phase, cleaning",,"Hardware prevention of the cooling system (Lev VI: Phase transition PCM), 7. 💨 Cleaning, prevention of the cooling system (replacement of thermoelements)"
IT-15185,Pocketbook PB615,Does not turn on,,Hardware initialization (forced start) of the battery with recovery from a deep discharge state
IT-15186,Xiaomi 21081111RG,Transfer data from old to new,,
IT-15170,HP 15,Cleaning,,Hardware prevention of the cooling system (Lev VI: PCM Phase Transition)
IT-15171,Apple A2337,Poured with wine,,Component restoration of a laptop/PC motherboard after electrochemical corrosion (liquid spillage)
IT-15163,Emashines E528,"It overheats, it turns off because of this, cleaning, prevention, look at the battery",,Hardware prevention of the cooling system (Lev IV: Premium thermal paste)
IT-15161,Dell Inspiron 7706 2-in-1,"Phase, Svyatoslav should raise the phase",,
